,id,name,len_description,len_name,host_name,host_location,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,number_of_reviews_l30d,review_scores_rating,price_cleaned,bairro_perigoso
0,1025196153924029661,Quartos disponíveis no Recreio,0,30,Ananda,,False,Recreio dos Bandeirantes,-23.01631990673765,-43.462606144777446,Private room in rental unit,Quarto privativo,2,4.0,2.0,2.0,,1.0,0,0,,,0
1,1697400829368754530,Casa próxima a Floresta da Tijuca,77,33,Yuri,,False,Alto da Boa Vista,-22.97561053376064,-43.284655207495575,Private room in home,Quarto privativo,2,1.0,1.0,1.0,$219.11,1.0,0,0,,219.11,0
2,42874066,Alugo uma vaga para sexo feminino Recreio,0,41,Mabel,,False,Recreio dos Bandeirantes,-23.02266,-43.49271,Private room in rental unit,Quarto privativo,1,1.0,,1.0,"$1,659.27",30.0,0,0,,1659.27,0
3,1543530193994981165,Barra Vista maravilhosa,48,23,Roberta,"Rio de Janeiro, Brazil",False,Barra da Tijuca,-23.009318541188463,-43.32802640684895,Entire rental unit,Todo o espaço,2,,1.0,,$704.00,3.0,0,0,,704.0,0
4,831750365913119274,Suíte Rio BR,45,12,Júnior,"Rio de Janeiro, Brazil",False,Bento Ribeiro,-22.87431429084369,-43.36045043364344,Private room in home,Quarto privativo,1,1.0,,1.0,$575.24,21.0,0,0,,575.24,0
5,1480784189647065903,aluguel por temporada,59,21,Adauto,"Rio de Janeiro, Brazil",False,Copacabana,-22.96339,-43.17379,Entire rental unit,Todo o espaço,3,1.0,1.0,2.0,$354.00,2.0,14,0,4.93,354.0,0
6,1224220304015172939,Copacabana 800metros praia leme,58,31,Mm,"Rio de Janeiro, Brazil",False,Leme,-22.96033895819573,-43.168938759339895,Private room in home,Quarto privativo,2,1.0,,1.0,$154.52,1.0,0,0,,154.52,0
7,1461158564043665719,Apartamento em frente a praia,121,29,Paula,,False,Copacabana,-22.9853534,-43.1896733,Entire rental unit,Todo o espaço,4,,2.0,,,2.0,4,0,5.0,,0
8,1348392694164191680,Loft a 5min da Praia,88,20,Bianca,,False,Leblon,-22.98230606517862,-43.22693666100771,Entire rental unit,Todo o espaço,3,,1.0,,,2.0,0,0,,,0
9,1015045,ipa vis 506,0,11,Nereu A,"Rio de Janeiro, Brazil",True,Ipanema,-22.98566,-43.19645,Entire rental unit,Todo o espaço,2,,1.0,,"$1,510.67",3.0,11,0,4.82,1510.67,0
10,1012156,suite santa clara,0,17,Nereu A,"Rio de Janeiro, Brazil",True,Copacabana,-22.96969,-43.18847,Private room in hostel,Quarto privativo,2,,1.0,,$484.00,1.0,0,0,,484.0,0
11,48164373,Ipanema rainha 104,74,18,Alves,"Weehawken, NJ",False,Ipanema,-22.98495,-43.19484,Entire rental unit,Todo o espaço,2,1.0,1.0,1.0,$785.50,2.0,0,0,,785.5,0
12,1399694863289873377,Refúgio com Varanda,0,19,Duda,"Rio de Janeiro, Brazil",False,Jacarepaguá,-22.968399,-43.423797,Entire home,Todo o espaço,2,1.0,1.0,1.0,,1.0,0,0,,,0
13,822005428868953911,cuarta Jacarepaguá,0,18,Ysmael,,False,Jacarepaguá,-22.96666,-43.38477,Private room in rental unit,Quarto privativo,3,1.0,,3.0,,1.0,0,0,,,0
14,13926855,2 suítes aconchegantes,226,22,Vania,,False,Jacarepaguá,-22.97342,-43.35709,Entire rental unit,Todo o espaço,4,2.0,2.0,3.0,"$1,712.00",2.0,0,0,,1712.0,0
15,14297983,Great location prime area in Barra,108,34,Thiago,"Rio de Janeiro, Brazil",False,Barra da Tijuca,-23.00813,-43.42664,Entire rental unit,Todo o espaço,4,1.0,1.0,1.0,"$3,030.00",1.0,0,0,,3030.0,0
16,1521881126949448692,"Suite Familiar , para viagens rapidas a cidade",49,46,Victor,,False,Taquara,-22.91448126488705,-43.37782867849008,Private room in rental unit,Quarto privativo,1,1.0,1.0,1.0,$136.94,1.0,0,0,,136.94,0
17,1331385072365840355,apartamento praia  top,58,22,Lucilene,,False,Copacabana,-22.963473011616404,-43.17828031407265,Entire rental unit,Todo o espaço,2,1.0,1.0,1.0,$434.79,4.0,0,0,,434.79,0
18,679777077268734251,Guest House - elegância e conforto,47,34,Renato Vianna,"Rio de Janeiro, Brazil",False,Recreio dos Bandeirantes,-22.99963,-43.43438,Entire rental unit,Todo o espaço,5,2.0,2.0,6.0,"$1,000.00",1.0,0,0,,1000.0,0
19,1050756134559156363,Studio para alugar pro ano novo!,59,32,Aninha,"Rio de Janeiro, Brazil",False,Flamengo,-22.928603903781685,-43.17496027095727,Entire rental unit,Todo o espaço,4,1.0,,1.0,$457.00,1.0,0,0,,457.0,0
20,1684948025554819690,apartamento para família com até 4 pessoas,41,42,Mônica,"Rio de Janeiro, Brazil",False,Centro,-22.91284,-43.186,Entire rental unit,Todo o espaço,4,1.0,1.0,1.0,$913.00,1.0,0,0,,913.0,1
21,1245523175755805453,Apat. Rock In Rio,0,17,Rivas,,False,Camorim,-22.976155739345057,-43.41361532752112,Private room in rental unit,Quarto privativo,4,,,1.0,,1.0,0,0,,,0
22,1367312569331234802,Pôr do sol,48,10,Renato Vianna,"Rio de Janeiro, Brazil",False,Jacarepaguá,-22.97159331626305,-43.38758543876733,Entire rental unit,Todo o espaço,4,2.0,2.0,3.0,"$1,110.00",1.0,0,0,,1110.0,0
23,1400709179367180862,Quarto para descanso.,139,21,Joyce,,False,Vidigal,-22.99380988117665,-43.23773006524651,Private room in home,Quarto privativo,2,,,1.0,$354.00,1.0,0,0,,354.0,0
24,835352063986595743,"Quarto para 2 pessoas, no melhor de Copacabana!",47,47,Dora,"Rio de Janeiro, Brazil",True,Copacabana,-22.967136258527244,-43.17795551447232,Private room in rental unit,Quarto privativo,2,0.5,,2.0,$400.00,1.0,19,0,5.0,400.0,0
25,1588594514454499956,Condo Pompeu 38,128,15,Alves,"Weehawken, NJ",False,Copacabana,-22.97523,-43.19485,Entire rental unit,Todo o espaço,5,1.0,1.0,1.0,"$1,712.00",1.0,0,0,,1712.0,0
26,12103305,Apartamento Copacabana,82,22,Flavia,,False,Copacabana,-22.97213,-43.18934,Entire rental unit,Todo o espaço,6,2.0,1.0,3.0,"$1,222.71",7.0,0,0,,1222.71,0
27,1625908533733857484,Lindo apt no bairro mais lindo do mundo,59,39,Rose,,False,Ipanema,-22.98557,-43.19467,Entire rental unit,Todo o espaço,4,1.0,1.0,1.0,$856.00,2.0,0,0,,856.0,0
28,1356102454833753928,Lindo apartamento em Copacabana,88,31,Leonardo,,False,Copacabana,-22.9652439,-43.1797107,Entire rental unit,Todo o espaço,4,1.0,1.0,2.0,$324.60,5.0,1,0,5.0,324.6,0
29,1615257032250243325,Área com churrasqueira e acomoda 6 pessoas .,86,44,Ricardo,,False,Copacabana,-22.9771923,-43.1929646,Entire rental unit,Todo o espaço,6,,,3.0,$502.12,3.0,0,0,,502.12,0
30,1373320024588597367,Apartamento N. Sra Copacabana,59,29,Fernanda,"Rio de Janeiro, Brazil",False,Copacabana,-22.97645,-43.19068,Entire rental unit,Todo o espaço,4,1.0,1.0,2.0,$388.00,3.0,0,0,,388.0,0
31,1619952454915664095,Copacabana Real Suíte,56,21,Phelipe Nobrega,,False,Copacabana,-22.96125,-43.17448,Private room in rental unit,Quarto privativo,2,1.0,1.0,1.0,"$1,195.96",1.0,0,0,,1195.96,0
32,1666677536636882906,Leblon apartment luxury,56,23,Marcia,,False,Leblon,-22.98113,-43.22196,Entire rental unit,Todo o espaço,6,2.0,2.0,2.0,$668.80,1.0,0,0,,668.8,0
33,1645720953464023186,Alugo 1 quarto individual com cama de casal.,56,44,Kássia,,False,Centro,-22.9107213,-43.1769676,Private room in rental unit,Quarto privativo,2,1.0,1.0,1.0,$109.55,1.0,0,0,,109.55,1
34,1569745033388733450,Apartamento  no coração do bairro Peixoto.,253,42,Elaine,,False,Copacabana,-22.963503745120256,-43.19281809031963,Entire rental unit,Todo o espaço,5,2.0,2.0,2.0,"$1,095.00",1.0,0,0,,1095.0,0
