id,name,host_name,host_location,host_response_time,host_is_superhost,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_cleaned
2384,Hyde Park - Walk to University of Chicago,Rebecca,,within an hour,False,Neighborhood highlights,Hyde Park,41.7879,-87.5878,Private room in condo,Quarto privativo,1,1.0,1.0,1.0,$119.00,3,257,0,4.99,False,119.0
7126,Tiny Studio Apartment 94 Walk Score,Sarah,"Chicago, IL",within an hour,True,Neighborhood highlights,West Town,41.90166,-87.68021,Entire rental unit,Todo o espaço,2,1.0,1.0,1.0,$89.00,2,595,3,4.73,False,89.0
10945,The Biddle House (#1),At Home Inn,"Chicago, IL",within an hour,True,,Lincoln Park,41.91196,-87.63981,Entire rental unit,Todo o espaço,4,1.0,2.0,2.0,$203.00,4,129,2,4.74,True,203.0
12140,Lincoln Park Guest House,Shar And Robert,"Chicago, IL",within an hour,False,Neighborhood highlights,Lincoln Park,41.92357,-87.64947,Room in boutique hotel,Quarto privativo,3,1.0,1.0,1.0,$339.00,2,19,1,4.95,False,339.0
28749,Quirky Bucktown Loft w/ Parking No Parties,Lauri,Italy,within a day,True,Neighborhood highlights,Logan Square,41.9202265,-87.67961319999999,Entire loft,Todo o espaço,6,2.0,3.0,3.0,$258.00,2,265,2,4.83,False,258.0
71930,"Rest, Relax and Explore",Michael And Veronica,"Chicago, IL",within an hour,True,Neighborhood highlights,West Town,41.89615,-87.67934,Private room in rental unit,Quarto privativo,2,1.0,1.0,1.0,$80.00,3,141,2,4.89,False,80.0
94450,Comfy Garden Suite in Andersonville,Mark,,within an hour,True,Neighborhood highlights,Edgewater,41.9796,-87.66512,Entire rental unit,Todo o espaço,1,1.0,1.0,1.0,$117.00,3,39,0,4.95,False,117.0
145659,Trendy Roscoe Village 3BR/2BR walk to shops,Joe,"Chicago, IL",within a few hours,True,Neighborhood highlights,North Center,41.94342,-87.68121,Entire rental unit,Todo o espaço,8,2.0,3.0,3.0,$185.00,32,77,0,4.78,False,185.0
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,Joe,"Chicago, IL",within a few hours,True,Neighborhood highlights,Lincoln Park,41.91289,-87.63864,Entire rental unit,Todo o espaço,10,2.0,4.0,4.0,$270.00,32,87,0,4.78,False,270.0
189821,"Best in Chicago, private, amazing garden space",Meighan,"Chicago, IL",within an hour,True,Neighborhood highlights,Logan Square,41.92918,-87.70219,Entire rental unit,Todo o espaço,5,1.0,2.0,3.0,$220.00,3,712,2,4.95,False,220.0
207218,Historic Pullman Artist Flat - Monthly Rental,Jb,"Chicago, IL",within an hour,True,Neighborhood highlights,Pullman,41.68843,-87.60712,Entire rental unit,Todo o espaço,2,1.0,1.0,1.0,$125.00,32,321,0,4.9,False,125.0
207351,Pullman Art Studio - One Person - Monthly Rental,Jb,"Chicago, IL",within an hour,True,Neighborhood highlights,Pullman,41.68954,-87.60786,Entire place,Todo o espaço,1,1.0,1.0,1.0,$50.00,32,49,1,4.92,False,50.0
220333,Pullman School House Apartment - monthly rental,Jb,"Chicago, IL",within an hour,True,Neighborhood highlights,Pullman,41.68912,-87.60725,Entire rental unit,Todo o espaço,2,1.0,2.0,1.0,$125.00,32,8,0,4.88,False,125.0
225314,Cozy & comfy with AC close to California Blue Line,Jillian,"Chicago, IL",within a few hours,False,Neighborhood highlights,Logan Square,41.92589,-87.69737,Private room in home,Quarto privativo,1,1.0,1.0,1.0,$87.00,2,32,0,4.94,False,87.0
233933,Lovely Bedroom 3 in a New Renovated Apartment,Tippi,"Chicago, IL",within a few hours,True,Neighborhood highlights,Irving Park,41.95758,-87.7271,Private room in home,Quarto privativo,2,1.0,1.0,1.0,$58.00,2,220,3,4.83,False,58.0
250354,Close to Michigan Ave and parks,Ronald,"Chicago, IL",,False,Neighborhood highlights,Near South Side,41.85923,-87.62198,Entire condo,Todo o espaço,2,1.0,2.0,1.0,$170.00,180,35,0,4.84,False,170.0
264547,Steps From the Best Chicago Offers,Dominic,"Chicago, IL",a few days or more,False,Neighborhood highlights,Near West Side,41.88413,-87.64315,Entire condo,Todo o espaço,3,1.5,2.0,2.0,$228.00,32,63,0,4.84,False,228.0
345075,"Spacious, Vintage Hyde Park Apt.3",Patricia,"Chicago, IL",within a day,True,,Kenwood,41.80774,-87.59459,Private room in condo,Quarto privativo,2,1.0,1.0,1.0,$116.00,2,304,0,4.97,False,116.0
350347,2bd/2bath Urban Loft w/ 2 pkg spots 1 blk to train,Jay,"Chicago, IL",within an hour,True,Neighborhood highlights,Lake View,41.94107,-87.65492,Entire loft,Todo o espaço,4,2.0,2.0,2.0,$193.00,3,823,5,4.88,False,193.0
372929,Lux Urban 3BR/3BA Duplex + Parking!,Hans,"Chicago, IL",within an hour,True,Neighborhood highlights,West Town,41.89629,-87.65704,Entire home,Todo o espaço,12,3.0,3.0,5.0,$249.00,2,326,4,4.85,False,249.0
404792,Eclectic West Town 2BR w/ Vintage Charm,Christine,"New York, United States",within an hour,False,Neighborhood highlights,West Town,41.88947,-87.66933,Entire rental unit,Todo o espaço,3,1.0,2.0,2.0,$126.00,14,227,1,4.51,False,126.0
464581,"Large, Private Logan Square Studio",Jonathan,"Chicago, IL",,False,Neighborhood highlights,Logan Square,41.92518,-87.69549,Entire rental unit,Todo o espaço,4,1.0,1.0,2.0,$106.00,32,649,0,4.81,False,106.0
507517,Private Lincoln Square Garden Apt,Nate,"Chicago, IL",within an hour,True,Neighborhood highlights,Lincoln Square,41.96678,-87.6973,Entire guest suite,Todo o espaço,4,1.0,1.0,1.0,$91.00,2,455,1,4.92,False,91.0
542067,Logan Square Modern Vintage Garden,Sarah,"Chicago, IL",within an hour,True,Neighborhood highlights,Logan Square,41.93142,-87.69989,Entire rental unit,Todo o espaço,3,1.0,2.0,3.0,$168.00,3,319,0,4.88,False,168.0
584590,"Spacious Bedroom, steps to El train",Elizabeth,"Chicago, IL",within an hour,True,Neighborhood highlights,Lincoln Square,41.96528,-87.6831,Private room in rental unit,Quarto privativo,2,1.0,1.0,1.0,$55.00,32,57,0,4.57,False,55.0
634310,The Stained Glass Apt. Edgewater #1,Felice,"Chicago, IL",within a few hours,True,Neighborhood highlights,Edgewater,41.99688,-87.66449,Private room in condo,Quarto privativo,2,1.0,1.0,1.0,$64.00,3,158,2,4.92,False,64.0
640841,Luxury Lakeview Retreat & Rooftop- Walk to Wrigley,James,"Chicago, IL",within an hour,True,Neighborhood highlights,Lake View,41.94256,-87.67171,Entire condo,Todo o espaço,4,2.5,2.0,2.0,$264.00,4,112,0,4.98,False,264.0
651742,Edgebrook Lg bdr by golf course,Jefferson,"Chicago, IL",within a few hours,True,Neighborhood highlights,Forest Glen,41.99178,-87.75747,Private room in home,Quarto privativo,2,1.0,1.0,1.0,$69.00,2,130,3,4.94,False,69.0
662034,Edgebrook bdr by golf course,Jefferson,"Chicago, IL",within a few hours,True,Neighborhood highlights,Forest Glen,41.99405,-87.75746,Private room in home,Quarto privativo,1,1.0,1.0,1.0,$60.00,2,111,3,4.94,False,60.0
681842,Bedrm/Bath - Swanky Northside Condo,Roxane,"Chicago, IL",within a few hours,True,Neighborhood highlights,West Ridge,41.99373,-87.68279,Private room in condo,Quarto privativo,2,1.0,1.0,1.0,$53.00,32,33,0,4.91,False,53.0
697634,"2 BD Condo by downtown,park,lake",Marv,"Evanston, Illinois",within a day,True,Neighborhood highlights,Near North Side,41.90437,-87.6335,Entire rental unit,Todo o espaço,4,1.0,2.0,2.0,$109.00,32,162,0,4.87,False,109.0
726376,"Spacious Studio, Amazing Location!",James,"Chicago, IL",within a few hours,True,Neighborhood highlights,Lake View,41.93903,-87.65196,Entire rental unit,Todo o espaço,2,1.0,1.0,1.0,$130.00,2,905,4,4.69,False,130.0
729566,Modern 1 Bdrm Condo w Office in High Rise-6mth min,Huiri,"Chicago, IL",within an hour,False,,Near South Side,41.86442,-87.62561,Entire condo,Todo o espaço,2,1.0,1.0,1.0,$79.00,179,5,0,5.0,False,79.0
732569,Entire 2BR Apt w/ Parking & 3 Beds,James,"Chicago, IL",within an hour,False,,Lower West Side,41.8559,-87.65336,Entire rental unit,Todo o espaço,5,1.0,2.0,2.0,$192.00,1,161,1,4.43,False,192.0
739495,Lovely 2 bedroom in Lincoln Square,Janet,"Chicago, IL",a few days or more,False,Neighborhood highlights,Lincoln Square,41.9765,-87.68144,Entire rental unit,Todo o espaço,4,1.0,2.0,3.0,$273.00,7,218,0,4.87,False,273.0
755701,3 Bedroom Victorian Beauty at Logan Square,Vasileios,"Chicago, IL",within an hour,True,Neighborhood highlights,Logan Square,41.93115,-87.71836,Entire rental unit,Todo o espaço,5,1.0,3.0,6.0,$125.00,32,33,0,4.81,False,125.0
863120,Cozy Private Room in a unique Chicago Penthouse,Nejla,"Chicago, IL",within an hour,False,Neighborhood highlights,Lincoln Park,41.92218,-87.66079,Private room in condo,Quarto privativo,2,2.5,3.0,1.0,$73.00,2,174,5,4.94,False,73.0
929914,Victorian Guest Suite in Old Town,Lynn,"Chicago, IL",within an hour,True,Neighborhood highlights,Lincoln Park,41.912410736083984,-87.63896942138672,Entire rental unit,Todo o espaço,2,,1.0,,,3,517,2,4.93,False,
931105,Modern Guest Bedroom Room in Designers House,Samantha,"Chicago, IL",,False,Neighborhood highlights,East Garfield Park,41.88538,-87.69801,Private room in home,Quarto privativo,2,,,,,32,22,0,4.91,False,
960326,The Penthouse Gallery at OHC - No Cleaning Fee!,Matthew,"Chicago, IL",within an hour,True,Neighborhood highlights,West Town,41.89602,-87.65659,Entire condo,Todo o espaço,6,2.0,3.0,3.0,$262.00,2,498,4,4.93,False,262.0
966137,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",Erika,"Chicago, IL",a few days or more,False,Neighborhood highlights,Near West Side,41.86801,-87.67877,Entire home,Todo o espaço,5,1.0,2.0,2.0,$120.00,32,41,0,4.75,False,120.0
979841,"Huge Victorian near Loyola, Lake #1",Eduardo,"Chicago, IL",within an hour,True,Neighborhood highlights,Rogers Park,42.00588,-87.66853,Private room in home,Quarto privativo,2,1.5,1.0,1.0,$81.00,2,374,6,4.98,True,81.0
979926,"Huge Victorian near Loyola, Lake #2",Eduardo,"Chicago, IL",within an hour,True,,Rogers Park,42.00477,-87.66842,Private room in home,Quarto privativo,2,1.5,1.0,1.0,$73.00,2,410,6,4.98,True,73.0
979942,"Huge Victorian near Loyola, Lake #3",Eduardo,"Chicago, IL",within an hour,True,,Rogers Park,42.00378,-87.66807,Private room in home,Quarto privativo,2,1.5,1.0,2.0,$73.00,2,367,5,4.94,True,73.0
983640,Huge Victorian near Loyola 2bd Apt,Eduardo,"Chicago, IL",within an hour,True,Neighborhood highlights,Rogers Park,42.00456,-87.67058,Entire rental unit,Todo o espaço,4,1.0,2.0,3.0,$179.00,2,318,6,4.95,True,179.0
1020810,Beautiful Condo in Chicago,Andrea,"Chicago, IL",within an hour,False,Neighborhood highlights,Near North Side,41.89395,-87.62593,Entire rental unit,Todo o espaço,2,1.0,1.0,2.0,$115.00,32,43,0,4.67,False,115.0
1027463,Chicago Women's Residence Florence Comfy Rm,Urban Art,"Chicago, IL",within a day,False,Neighborhood highlights,North Lawndale,41.8544,-87.70852,Private room in home,Quarto privativo,4,,1.0,,,32,11,0,4.36,False,
1083987,MODERN LOFT Downtown by McCormick w/KING BED WiFi,Paul,"Chicago, IL",within an hour,False,,Near South Side,41.85395,-87.62468,Entire rental unit,Todo o espaço,2,1.0,1.0,2.0,$120.00,32,17,0,5.0,False,120.0
1185749,3 Bedroom Vintage Hideaway In Little Italy/uic,Matt And Christy,"Chicago, IL",within an hour,False,Neighborhood highlights,Near West Side,41.87033,-87.6826,Entire condo,Todo o espaço,6,1.0,3.0,4.0,$166.00,3,388,1,4.87,True,166.0
1195259,Wicker Park - Garden At The Heart of It All,Jason,"Chicago, IL",within a day,True,Neighborhood highlights,West Town,41.90914,-87.67859,Entire rental unit,Todo o espaço,3,1.0,2.0,4.0,$118.00,5,225,1,4.9,False,118.0
1242709,Beautiful/Large SE Evanston Apt,Mr,"Evanston, IL",,False,,Rogers Park,42.01938,-87.67985,Entire rental unit,Todo o espaço,6,,2.0,,,7,17,0,4.35,False,
1304049,Private room near UIC Medical Dist.,Sharon,"Chicago, IL",,True,Neighborhood highlights,Near West Side,41.86967,-87.68284,Private room in home,Quarto privativo,2,1.0,1.0,1.0,$45.00,32,126,0,4.66,False,45.0
1321332,Lincoln Park Single Family Home,Jeff,"Chicago, IL",within an hour,False,Neighborhood highlights,Lincoln Park,41.93089,-87.66946,Entire home,Todo o espaço,16,3.5,4.0,11.0,$627.00,2,121,2,4.83,False,627.0
